Calculated At,Created,From,Municipality ID,Municipality Name,Parameter ID,QC Status,Time Resolution,To,Value
2023-01-14T14:36:46.924000,2023-05-22T19:47:05.498903+00:00,2022-12-01T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-02T00:00:00+01:00,0.4
2023-01-14T14:36:26.782000,2023-05-22T19:47:01.768640+00:00,2022-11-30T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-01T00:00:00+01:00,0.4
2023-01-14T14:36:11.980000,2023-05-22T19:46:58.117110+00:00,2022-11-29T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-11-30T00:00:00+01:00,0.0
2023-01-14T14:35:49.027000,2023-05-22T19:46:45.279077+00:00,2022-11-28T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-11-29T00:00:00+01:00,0.8
2023-01-14T14:35:26.334000,2023-05-22T19:46:42.116733+00:00,2022-11-27T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-11-28T00:00:00+01:00,0.0
2023-01-14T14:35:04.380000,2023-05-22T19:46:38.393079+00:00,2022-11-26T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-11-27T00:00:00+01:00,0.6
2023-01-14T14:34:42.820000,2023-05-22T19:46:23.427288+00:00,2022-11-25T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-11-26T00:00:00+01:00,0.0
2023-01-14T14:34:23.267000,2023-05-22T19:46:19.710303+00:00,2022-11-24T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-11-25T00:00:00+01:00,0.1
2023-01-14T14:34:02.568000,2023-05-22T19:46:15.607053+00:00,2022-11-23T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-11-24T00:00:00+01:00,0.0
2023-01-14T14:33:41.299000,2023-05-22T19:46:01.646628+00:00,2022-11-22T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-11-23T00:00:00+01:00,0.1
