time,level,year,sin_month,cos_month,sin_dayofyear,cos_dayofyear
2016-12-22,11.520104166666668,2016,-2.4492935982947064e-16,1.0,-0.14144406768794202,0.9899462489023779
2016-12-23,11.5199375,2016,-2.4492935982947064e-16,1.0,-0.12439450483979998,0.9922328391893008
2016-12-24,11.524447916666666,2016,-2.4492935982947064e-16,1.0,-0.10730813165636247,0.9942258118156161
2016-12-25,11.542753846153847,2016,-2.4492935982947064e-16,1.0,-0.09019000427034513,0.9959245770286599
2016-12-26,11.55376842105263,2016,-2.4492935982947064e-16,1.0,-0.07304518821104743,0.9973286321364752
2016-12-27,11.56065625,2016,-2.4492935982947064e-16,1.0,-0.05587875690537313,0.9984375616565666
2016-12-28,11.55071875,2016,-2.4492935982947064e-16,1.0,-0.03869579017652689,0.9992510374388481
2016-12-29,11.546197916666666,2016,-2.4492935982947064e-16,1.0,-0.021501372740813793,0.999768818762748
2016-12-30,11.541947916666667,2016,-2.4492935982947064e-16,1.0,-0.004300592702981974,0.9999907524084426
2016-12-31,11.53765625,2016,-2.4492935982947064e-16,1.0,0.012901459949419653,0.9999167727021953
2017-01-01,11.541937500000001,2017,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735
2017-01-02,11.54153125,2017,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598
2017-01-03,11.53896875,2017,0.49999999999999994,0.8660254037844387,0.051584366869408364,0.9986686402879997
2017-01-04,11.55175,2017,0.49999999999999994,0.8660254037844387,0.06875540848113941,0.9976335468520451
2017-01-05,11.527166666666666,2017,0.49999999999999994,0.8660254037844387,0.08590610426133272,0.9963032375991965
2017-01-06,11.51603125,2017,0.49999999999999994,0.8660254037844387,0.10303137904317879,0.9946781061893646
2017-01-07,11.520458333333332,2017,0.49999999999999994,0.8660254037844387,0.1201261651823505,0.9927586335250793
2017-01-08,11.50609375,2017,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833
2017-01-09,11.508197916666667,2017,0.49999999999999994,0.8660254037844387,0.1542040475626894,0.988039023376751
2017-01-10,11.51590625,2017,0.49999999999999994,0.8660254037844387,0.17117705961019986,0.985240282501282
2017-01-11,11.531354166666667,2017,0.49999999999999994,0.8660254037844387,0.18809941761179758,0.9821499931752291
2017-01-12,11.565104166666666,2017,0.49999999999999994,0.8660254037844387,0.20496611396949532,0.9787690698649216
2017-01-13,11.556927083333333,2017,0.49999999999999994,0.8660254037844387,0.22177215755648186,0.975098513039961
2017-01-14,11.540114583333333,2017,0.49999999999999994,0.8660254037844387,0.23851257519407648,0.9711394088771653
2017-01-15,11.524770833333333,2017,0.49999999999999994,0.8660254037844387,0.2551824131233728,0.9668929289391521
2017-01-16,11.506739583333333,2017,0.49999999999999994,0.8660254037844387,0.2717767384711357,0.9623603298276545
2017-01-17,11.49634375,2017,0.49999999999999994,0.8660254037844387,0.2882906407095177,0.9575429528116719
2017-01-18,11.49675,2017,0.49999999999999994,0.8660254037844387,0.3047192331091634,0.9524422234305676
2017-01-19,11.505677083333333,2017,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283
2017-01-20,11.515958333333332,2017,0.49999999999999994,0.8660254037844387,0.3373010691361842,0.9413968285264122
2017-01-21,11.520802083333335,2017,0.49999999999999994,0.8660254037844387,0.3534446712740877,0.9354554315134164
